comment,channel_name,date,like_count,dislike_count
4:38:24 Awal Mula Sanzz Gilak Sanzz☠️☠️,@ONIC_THE_HEDGEHOG,2024-07-17 05:25:21+00:00,1,0
dewa counter ae😂,@Hyuuurky,2023-08-13 13:28:37+00:00,0,0
Halo,@AMSpamiliy551,2023-08-03 10:13:08+00:00,0,0
Telat ya,@AMSpamiliy551,2023-08-03 10:12:49+00:00,0,0
onic belum ada counter ny,@massr714,2023-08-02 20:07:43+00:00,0,0
Mpl gk ada seru ny pasti yag Menag onic lagi,@massr714,2023-08-02 20:05:46+00:00,0,0
Si Paling Iklan,@Lenwa_da_Vinci,2023-08-02 13:23:58+00:00,0,0
Si Paling Iklan,@Lenwa_da_Vinci,2023-08-02 13:23:46+00:00,0,0
Uranus nya pea,@BillaCantik-nz2bj,2023-08-02 10:54:37+00:00,0,0
Kaya aku bang mpl bagian mid lane,@itahnurani3489,2023-08-01 15:32:57+00:00,0,0
menting hapus games lu sering ketemu tim nggak seimbang tot,@adriannation494,2023-07-31 19:23:44+00:00,0,0
Gg🎉,@elyfietrie,2023-07-31 09:49:20+00:00,0,0
Paul,@SitiChotimah-f8w,2023-07-31 09:39:30+00:00,0,0
"alter ego roamernya mekanik tua, junglernya mekanik tua, offlanernya cuma main kek ranked ga ngerti tugasnya wkaowkaowkaokwoa gmna mau juara",@ferrysyahrinal6896,2023-07-30 17:53:08+00:00,0,0
"wkwk kayes terbengong bengong, antara mau senang atau sedih, senang karna onic menang, sedih karna celiboy kalah🤣",@alambaka-be1no,2023-07-29 08:05:12+00:00,0,0
4:04:55,@fauzahb18,2023-07-29 00:32:35+00:00,0,0
Wkwkw wajah REKT hahaaa😂😂,@evanars,2023-07-28 21:08:40+00:00,0,0
Sanz apaan dah,@amestiaprasinatapanggabean1975,2023-07-28 15:58:29+00:00,0,0
celiboy konnnnnnnnn,@ardhaaa,2023-07-28 14:05:25+00:00,0,0
Mc nya annoying bgt fakk,@rizkyherlambang9083,2023-07-28 11:59:16+00:00,0,0
"ini karna lawan dewa aja ga begitu berasa impact nya kalo vyn mati, klo lawan onic udh pecah pecah ini BTR di zoning abis blunder mulu.hadehhh",@daniels8912,2023-07-28 10:14:05+00:00,0,0
Kok masih blm main,@KevinAgustino-cz9dy,2023-07-28 09:34:13+00:00,0,0
Celiboy blunder,@PeraiTaruih,2023-07-28 09:09:43+00:00,0,0
Ayo dong mainkan hero hero yg jarang digunakan MPL. Spya tontonannya makin berkelas dan makin menghibur.,@ibnuhasan7757,2023-07-28 09:07:32+00:00,0,0
Semangat ae,@binbinguna1766,2023-07-28 08:22:59+00:00,0,0
Nub rekt,@anggaarmando2732,2023-07-28 08:06:58+00:00,0,0
Rekt gabisa maen,@anggaarmando2732,2023-07-28 08:06:40+00:00,0,0
selamat ONIC ,@men_games,2023-07-28 07:53:56+00:00,1,0
Mana yg namanya kage2 taek bisa apa,@rrv782,2023-07-28 07:11:40+00:00,0,0
"Ngk ada yg belajar dari RRQ... Kiboy nya all in aja. Jgn biar kan bebas jln"".",@normanainggolan6435,2023-07-28 07:00:27+00:00,0,0
Itu karna AE pake mesin tua . Rekt mending rehat aja.  Gak guna,@tommyradja2196,2023-07-28 06:37:26+00:00,1,0
AElaaaaaaaah the real badut badut,@busysloth138,2023-07-28 06:22:58+00:00,0,0
Hostnya kudu banyak belajar lagi ya mending bude aja,@Raramicasa,2023-07-28 03:48:08+00:00,0,0
Mekanik tua .. anti montage 😂😂,@eddoseftiyan2953,2023-07-28 01:41:33+00:00,0,0
Season 6 blm ada nino,@fatimahali6461,2023-07-28 01:12:45+00:00,0,0
Bener-bener dah gak ngerti lagi gua pasif AE gak ngotak,@yagamikirizuch,2023-07-27 22:47:43+00:00,0,0
ganti celiboy dong ae,@renomuhamadiqbal2993,2023-07-27 22:29:07+00:00,0,0
"Mantap Alter Ego setidaknya kalian sudah membuktikan bisa memberikan perlawanan tetap Semangat Geessss .

Untuk ONIC bisa yaa sekeren ini, kenapa gak bantai2 gini lawan RRQ 🫣 aja si paling preman MPL (DOANG) ucap KINGDOM",@PEEWeeeskie,2023-07-27 22:23:29+00:00,1,0
AE Hebat Terlalu Maksa Dan Berakhir NT🤣🤣,@ozetganteng8222,2023-07-27 22:09:45+00:00,0,0
"dewa keliatan banget si jungler nya panikan midlane nya kebingungan rotasi, jd percuma aja game style leo tas tas ga cocok sama tim nya",@dindapuspita1432,2023-07-27 22:09:43+00:00,0,0
"Kok bisa gak belajar dari pengalaman si AE,the real team kocak",@irfansadewa9108,2023-07-27 22:04:16+00:00,2,0
"Gila albret, 😂",@razkywedhe3451,2023-07-27 20:27:01+00:00,1,0
Sekilas dri samping Kairi model rambutnya kayak ling.,@leonardoD1174,2023-07-27 20:20:34+00:00,0,0
Kasi rekt hyper jamin top 3,@wirapratama3819,2023-07-27 19:46:34+00:00,0,0
"mage AE kurang greget, udh tau copy ulty franco gk mau lok kadita/lance",@alfiyahiyah-k8w,2023-07-27 19:27:08+00:00,0,0
3:23:27 ONIC VS AE,@dubu4531,2023-07-27 18:45:09+00:00,3,0
"Dewa sih kurang banget ya di jungler sama mid nya , kaya gk tau harus kemana bengong doang",@egipranata.2810,2023-07-27 18:24:32+00:00,0,0
"Kasih paham beart,",@al-dolpg9081,2023-07-27 18:03:52+00:00,1,0
Albert digendong,@massded,2023-07-27 17:55:46+00:00,2,0
Sipaling m1 wkwkwk kocak kocak... penyesalan AE rekrut player NOL mekanik😅😅..,@cokelatvanilla9305,2023-07-27 17:46:51+00:00,2,0
2 kali hampir sama di mainin Albert dengan kesabaran nya.,@dimassantoso2972,2023-07-27 17:42:57+00:00,1,0
"lagi"" penyakit ae dari dulu tuh di end game..padahal tadi klo nino ikut celiboy fokus base turet bisa menang itu eh dia malah ancurin bawah dulu🤦‍♂️",@Jjeo_,2023-07-27 17:03:47+00:00,0,0
Rekt hrs gold,@A.peyz09,2023-07-27 17:00:30+00:00,1,0
Setiap team tangguh lawan AE selalu menyajikan tontonan menarik...well played AE,@adiwd12,2023-07-27 16:55:24+00:00,1,0
Onic dan btr kalian kuat pemilihan hero juga banyak moga moga juara mpld id season 12 dan bisa m5 untuk juara m5 internasional,@SahrulPakdin-gk2bv,2023-07-27 16:51:24+00:00,10,0
Makin kedip2 tuh mata si udil cacat😂😂😂,@hasanuddinsaputra6719,2023-07-27 16:39:37+00:00,0,0
