comment,channel_name,date,like_count,dislike_count
Mga putangina kayo Indonesia mga bubu kayo,@VincentSumeli-rc5eu,2025-06-13 11:54:27+00:00,0,0
eaaaa eaa eaa😂😂😂😂😂😂,@Mhmmdrazivaditama,2025-05-29 04:22:07+00:00,0,0
7:33:51,@nvnda9569,2024-10-31 04:32:17+00:00,0,0
Absen yg Kangen Mpl s11 Karena habis nntn s12,@varelkunv4929,2023-10-15 14:51:31+00:00,0,0
6:33:30 vonzy &sze,@Anggkyyyy,2023-04-09 07:20:28+00:00,4,0
7:33:50  jan lupa bahagia,@comells4682,2023-03-27 21:48:33+00:00,0,0
#mplkocak,@keuangandiskominfos2581,2023-03-21 02:41:43+00:00,0,0
4:57:53 be like: harus mengantisi sapi😂😁😂😂,@Tbex10952,2023-03-01 07:40:21+00:00,1,0
"Sekarang nge hujat rrq , dulu acil , introspeksi diri aja bro",@adrianadrian3721,2023-02-26 11:38:11+00:00,0,0
"ADA acil Pun pas d RRQ  ckup kesusahan jg lawan onic. Skrg Pindah ke Onic,, mng pun kl d sebut faktor acil kyanya ga gt berdampak krn Onic sdh tangguh. Kl pun dia coach jago pindah nya ke yg tim under hrsnya. Wkwkkwk",@upentsepent1907,2023-02-24 11:45:25+00:00,0,0
"Sumpah grock apa bagusnya sih lebih bagus atlas , Uranus dan Gatot kaca lebih op ketimbang grock",@liechanel1998,2023-02-23 12:37:26+00:00,1,0
Kelinci 🐰🐰 tetap kelinci 🐰🐰 tidak ada kelinci berevolusi di hadapan raja,@bocahtateng3370,2023-02-23 09:40:35+00:00,0,0
"lEmon ni bos senggol doank


😁😁😍",@yanasupriyana7399,2023-02-21 17:54:41+00:00,0,0
"Rebelion@ maksain make beatrix senjata nya sniper trus ...jarak dekat di kroyok mana sempat kill lawan ,walaupun damage ny besar ..mau ikutin skylar mana bisa Haiz",@harisfadillah9103,2023-02-20 11:52:42+00:00,0,0
"Bagusan model caster lama, dimana caster dalam satu meja jd lebih enak waktu ngasih komen, bukan sendiri2.
Bole sendiri analystnya, tp begitu selesai lgsng join ma caster di stage.
LEBIH BAGUS MODEL LAMA DAN TURUNIN HARGA TIKETNYA",@firabima5541,2023-02-20 05:21:57+00:00,1,0
Onic adi out,@nilafrndi6018,2023-02-19 14:11:38+00:00,0,0
Gimana ya.... Lemon bagus sih cuman setiap dia ambil inisiasi pasti timnya ga follow up. Apa kurang komunikasi atau gimana?,@puyengman6368,2023-02-19 12:41:51+00:00,0,0
5:07:32@Natalia Lampung: 4:11:43 ni menit di mpl,@Xykxn,2023-02-19 11:58:50+00:00,1,0
"Waktu hanabi kill lemon si vyn senyum sinis njiiiir,.",@wahyuhida9310,2023-02-19 11:00:48+00:00,0,0
Albert match 1: kumaha barudakkk SIKATTT,@zaatempest8941,2023-02-19 10:53:10+00:00,0,0
9:21:10 kebahagian sesaat,@HumanKills,2023-02-19 10:31:56+00:00,1,0
"9:12:18 💛🔥
Geng ONIC Angels Siap Bertarung
Lawan ERA Monster Hijau, 💚 GPX Basreng

9:13:04 🥰
ONIC Kairi (Jungler)
The Achievement In MPL ID S10

- MVP Regular Season
- Best Jungler
- Final MVP

9:13:39 😉
""Support Kita Terus,
 Sampai Selesai MPL Season 11""

- ONIC Sanz (Midlaner) -",@sandiprayoga2082,2023-02-19 10:15:38+00:00,0,0
6:36:20 Vonzy dan Adiknya,@IdhamK02,2023-02-19 08:17:05+00:00,1,0
disana masih covid ya? bnyak yg pake masker😀,@rizkaalvian2153,2023-02-19 05:56:50+00:00,0,0
"28:34 🔥
AE Udil :
""Gue Ga Akan Selesai !""

EVOS Saykots :
""Ekspetasi Orang Yang Terlalu Tinggi""

BTR Maxxx :
""Mereka Bilang, Saya Tidak Lebih Keras
 Dan Membuat Kehilangan Identitas""

 29:10 🔥
AURA Facehugger :
""Gue Disini Bukan Sekedar
 Untuk Membuat Api Menyala, Tapi Membara""

RBL Widjanarko :
""Ngga Ada Yang Namanya Ga Mungkin""

Pesan Semangat Untuk Bigetron ERA (ID 🇮🇩)

29:48 🔥
EVOS Saykots :
""Ini Waktunya Gue,
 Menunjukkan Versi Terbaik Saya""

30:12 🔥
GEEK Baloyskie :
""You Not Just A Play, But Will Slate""

RBL Widjanarko :
""Karena Sekarang Kita Mau Ukir Sejarah""

30:21 🔥
BTR Maxxx :
""Musim Ini, Bigetron Akan Naik Kelas""

30:28
RRQ Renbo Is Come Strong Back ! 🔥

Sang Pahlawan Ksatria Baru
Pendukung Bigetron ERA (ID 🇮🇩)

30:45 👊🔥
BIGETRON ERA, DARE TO BE PROVE ! ✊

Theme Spirit Song :

9:27:47 ✊🔥
Lagu : WE OWN THIS
Artis : Eka Gustiwana X Junno",@sandiprayoga2082,2023-02-19 01:14:04+00:00,5,0
"Official Tournament Phone :

3:51 Samsung Galaxy S23 5G

The Giveaway Phone Of MWI 2023
For Bigetron ERA (ID 🇮🇩)

#HEReTOPROVE ✨",@sandiprayoga2082,2023-02-19 01:06:52+00:00,1,0
4:58:39 moment mm,@user-qs3th6nw8i,2023-02-18 16:17:47+00:00,0,0
"Hape nya Udah gak pake Buah"" an yaa",@playerkepo4837,2023-02-18 15:48:32+00:00,0,0
Bosanla anying nk tgk pause pause..,@ridhwan135,2023-02-18 12:14:53+00:00,0,0
Njir 1 hri 5jta yg bkin rame pasti kondom nih😂😂,@aryoo8620,2023-02-18 09:56:04+00:00,0,0
4:13:05 Kumaha Barudakk Sikatttt,@adhaaa,2023-02-18 08:22:35+00:00,3,0
"Geek, frangco nya turu 🤡",@fauziramadhan2128,2023-02-18 07:01:18+00:00,1,0
4:13:12 SIKATTT!!,@ElzioTempest.,2023-02-18 06:18:34+00:00,0,0
"pindah onic kok blm jdi coch adi sih, dipanggung gk ada tu malah dibelakang layat 😂",@nettomonk112,2023-02-18 05:09:45+00:00,0,0
Misalkan caldera wkt moscov pke item defense mgkin bsa survive seenggaknya ga mati secombo,@wahyunurrohman7156,2023-02-18 04:25:40+00:00,0,0
04:11:43,@skystarrr,2023-02-18 03:37:43+00:00,0,0
05:07:32,@skystarrr,2023-02-18 03:37:11+00:00,0,0
"Hoam ngantuk 🥱 bosen nonton liga ga ada degradasi, timnya itu2 doang 🥱🥱🥱🥱🥱",@ericosaputra8145,2023-02-18 03:21:10+00:00,0,0
"Min bisa gk sih suara dari suporter nya hilangin saat match dimulai, ganggu bet jdi mls",@Biddd77,2023-02-18 02:40:51+00:00,0,0
4.11.43,@faridrosyid8997,2023-02-18 02:13:27+00:00,1,0
yang nonton 4.9JT yang like45RB doang,@aizennnn.9526,2023-02-18 02:00:32+00:00,1,0
cadera belajar lagi dekk,@rixsetiadi5178,2023-02-18 01:57:33+00:00,0,0
p,@rannn77,2023-02-18 01:36:49+00:00,1,0
"4,9 jt cuy...",@erenyaeger3471,2023-02-18 01:25:53+00:00,0,0
"MINN KOK GAK TRENDING SI, PADAHAL YANG NONTON BANYAK",@keongbalap77944,2023-02-18 01:08:27+00:00,0,0
5:07:22,@daniz779,2023-02-18 01:07:26+00:00,1,0
4:11:43,@daniz779,2023-02-18 01:06:03+00:00,1,0
5:07:32,@SkyAZ17,2023-02-18 00:52:58+00:00,2,0
4:11:43,@SkyAZ17,2023-02-18 00:52:18+00:00,1,0
maaf mpl id,@kinggamer69promax,2023-02-18 00:32:19+00:00,0,0
4.11.43,@MIdhaAlwi,2023-02-18 00:30:26+00:00,0,0
Adi out,@faktajejaksejarah,2023-02-18 00:18:12+00:00,1,0
Yg bilang bukan eranya lemon tapi skill lemon gak turun buktinya masih bisa acak2 line musuh,@theoikkiofficial1067,2023-02-18 00:08:39+00:00,2,0
acil kwkwkwk😂😂😂,@marksman7765,2023-02-17 23:36:28+00:00,0,0
"kayaknya bakal kyak s9 rrq juara, season ganjil seasonnya rrq",@kedelaiHitam09,2023-02-17 23:13:12+00:00,1,0
Hah kok bisa aura top 3 Kan yang tadi menang rbl?,@komangmartaadiputra7168,2023-02-17 23:03:54+00:00,1,0
Mantap,@Grisna_25-,2023-02-17 22:31:26+00:00,0,0
7:11:54,@iforgorowl7590,2023-02-17 22:29:18+00:00,1,0
onic aneh bawaan coach adi guys wkwk setidaknya tugas coach acil menjadi coach adi itu sukses,@AILawak,2023-02-17 22:04:12+00:00,0,0
"Kasihan geek game ke 2 pause Mulu, giliran back to game, geek udah kebantai.",@wahyusetiawan2828,2023-02-17 20:57:37+00:00,2,0
Gilaa ada RRQ Lemon 🤩🤩,@dimasashari15,2023-02-17 20:46:36+00:00,11,0
"7:55:35
cantik abnget anjay, siapa nihhh ?",@entahsiapayangsalah5796,2023-02-17 19:33:24+00:00,0,0
"Jujur dari gw pribadi cara casternya lebih enak s10 daripada s11. Dari segi tampilan nya kek nga seger aja gitu, agak gelap. Trus pengakhir acaranya mending casternya juga yg nyebutinnya. Oh ya sama MVP point nya blum ada. Jujurly",@marskochi,2023-02-17 19:29:34+00:00,2,0
"Menit 4:57:51 mengantisapi,sapi gak tuh",@orenzzzfriend5527,2023-02-17 19:05:11+00:00,2,0
dah tau kairi tuh specialist assasin hero.. wkwkw emang dasar pelatihnya kocak sih yehh sih acil acil hahaha.. kasian gw mah ma onic dah sumpah,@nickyogieviragraha8324,2023-02-17 18:58:12+00:00,2,0
Onic adi is real,@yudhistiraarifdermawan9683,2023-02-17 18:38:26+00:00,0,0
05:07:32,@riosing,2023-02-17 18:37:03+00:00,1,0
Samsung. no pause pause team,@dinoback25,2023-02-17 18:35:56+00:00,0,0
Kadita bloon vyn,@rev6780,2023-02-17 18:32:23+00:00,1,0
5:07:32,@openmindednotopenfoolish8246,2023-02-17 18:32:18+00:00,1,0
Vyn ndk guna,@rev6780,2023-02-17 18:28:53+00:00,1,0
"32:50 duo kage
Balas subs guys:v🗿",@bagasgaming9356,2023-02-17 18:26:10+00:00,0,0
jos,@diditbayichannel4690,2023-02-17 18:19:27+00:00,0,0
caster nya kebanyakan salah ngomong,@adinda.p17,2023-02-17 18:10:39+00:00,0,0
Gila keren end gamenya,@benimario474,2023-02-17 17:56:43+00:00,1,0
Kumaha barudak?,@Mahesaaaaa,2023-02-17 17:50:53+00:00,0,0
"Prediksi :
1. Evos
2. Onic
3. RRQ 
4. BTR
5. RBL 
6. Geek
7. AE
8. Aura",@alvitoanugerah5144,2023-02-17 17:45:19+00:00,0,0
Udil phsyco menit berapa bang?,@rullyjakarta9699,2023-02-17 17:42:01+00:00,0,0
2:36:50 KELASSS,@Ahmad-yc1ft,2023-02-17 17:40:17+00:00,2,0
BTR Msih jdi kelinci percobaan,@halahdipikir5660,2023-02-17 17:36:46+00:00,2,0
4:13:06 kumaha barudak sikatt,@abdulmuin5240,2023-02-17 17:36:34+00:00,9,0
"Fress banget yakin rrq sekarang, fix emang acil masalah internal rrq awowkwokwk",@agengbayat2437,2023-02-17 17:35:19+00:00,55,0
32:49,@zidanediaz4817,2023-02-17 17:30:33+00:00,2,0
Udh pake samsung bakal juara internasional nihh ... BTR ERA JUARA MWI DAN INDONESIA JUARA IESF ... 😁,@HariwijayaHariwijaya,2023-02-17 17:17:46+00:00,0,0
5:07:32,@ArianSyah-fl4tx,2023-02-17 17:13:22+00:00,3,0
5:07:32,@444vnk,2023-02-17 17:07:49+00:00,1,0
"Match 1 aura vs rbl 1:12:13
Match 2 aura vs rbl 1:47:22
Match 3 aura vs rbl 2:30:24

Match 1 rrq vs btr 4:10:59
Match 2 rrq vs btr  4:54:40

Match 1 geek vs onic 7:13:36
Match 2 geek vs onic 7:53:49
Match 3 geek vs onic 8:51:19",@focus.on.what.matters,2023-02-17 17:05:55+00:00,172,0
Sekarang gw dukung onic karena ada Acil dulu kingdom dari ler masih di RRQ ❤️ semangat Acil hujatan nitizen jadikan cambuk dalam hidup semoga tuhan selalu melindungi mu,@Irad_vs_brusko,2023-02-17 17:03:24+00:00,30,0
9:25:43 maklum kurang ngopi,@meowsteri-ku,2023-02-17 17:01:38+00:00,1,0
Sedang mencari kang menit,@meow9350,2023-02-17 16:58:23+00:00,0,0
Kemon RRQ yakin bisa juara M9,@cahyalailavia3544,2023-02-17 16:48:37+00:00,1,0
"List match reguler season MPL ID S11 Minggu ke-1 hari ke-1
AURA- VS REBELLION ZION
Match 1
Draft pict : 1:03:54
Match : 1:12:13
Mvp : 1:30:03
Match 2 
Draft pict : 1:37:23
Match : 1:47:21
Mvp : 2:08:36
Match 3
Draft pict : 2:20:51
Match : 2:30:30
Mvp : 2:57:06
-RRQ HOSHI  vs BIGETRON ALFA
Match 1
Draft pict : 4:03:30
Match : 4:11:12 
Mvp : 4:35:59
Match 2
Draft pict : 4:45:02
Match : 4:54:54
Mvp : 5:23:59
GEEK FAM vs ONIC ESPORT 
Match 1
Draft pict : 7:06:17
Match : 7:13:49
Mvp : 7:38:38
Match 2
Draft pict : 7:48:29
Match : 7:53:54
Mvp : 8:31:53

Yang mau Terima kasih bisa banget kunjungin chanel gw dibawah ini 😁
https://www.youtube.com/channel/UCNN_9iWz6lcZK0VXD5HeRTw",@falahils_eternal666,2023-02-17 16:41:42+00:00,82,0
Lemon full senyum,@combrang0328,2023-02-17 16:40:07+00:00,2,0
Tumben banget ga ada kang menit :v,@ed2059,2023-02-17 16:38:27+00:00,0,0
Onic Panik🗿,@muktimardinata2599,2023-02-17 16:36:34+00:00,2,0
matt menggila di geek,@adiyanpangestu9176,2023-02-17 16:30:04+00:00,0,0
SIAP SIAP BESOK JUARA DUNIA MAU DITABRAK BANTENG,@umymind4596,2023-02-17 16:30:02+00:00,1,0
"9:25:39 
Kwkwkwkwkwk 🗿",@rofiestaagung2581,2023-02-17 16:28:00+00:00,2,0
Onic Adi 🤣,@rifkialfiansyah3475,2023-02-17 16:26:16+00:00,1,0
Gloo masih haram woy,@jacksynder1811,2023-02-17 16:24:22+00:00,0,0
Gas trendingkan,@revanzaa,2023-02-17 16:20:11+00:00,35,0
"Kebiasaan fan kingdom, datang2 ke live chat cuman mau hujat si adi. Kalian masih sayang kah sama sih adi wahai fans kingdom???


Onic adi nih boss 😷😷😷",@frankysandiarta4616,2023-02-17 16:18:53+00:00,3,0
PUCUK DINGIN BOS ONIC E-SPORT 💛,@zeed940,2023-02-17 16:15:49+00:00,16,0
Acil on fire🔥🔥🤣,@jefryansyah3240,2023-02-17 16:14:09+00:00,7,0
"INI BARU CHENEL RESMI, JANGAN NONONTON DI CHENEL2 LIVE YG MENYIARAIN COLONGAN GAES TANPA IJIN , KENA UNDANG UDANG ITE, KOMEN HARUS BERLAGANAN DAN BAYAR RIPORT",@the.hunterproo4468,2023-02-26 11:57:34+00:00,0,0
lemon cintaku 🔥😭😭😙😙😍,@suciparamitha.i,2023-02-24 03:27:14+00:00,0,0
