comment,channel_name,date,like_count,dislike_count
"Douma blom kelas MPL sih, jd gk berguna bngt di team fight",@alvinidrajat7234,2024-08-10 02:28:15+00:00,1,0
ONIC CUMA BISA MENANG DI MPL ID😂,@Vampire_King980,2024-08-10 01:18:07+00:00,1,0
😀,@anwarsaputra3916,2024-08-10 01:13:30+00:00,1,0
Alhamdulillah FNATIC ONIC membuka kemenangan.. Semoga bisa juara lagi.. Aamiin ya allah,@anismunardy7820,2024-08-10 00:53:48+00:00,3,0
Tapi kan juara mpl season 9sampai 13,@AnSor-pl1bb,2024-08-10 00:34:26+00:00,0,0
Douma goblok,@hakimdian4829,2024-08-10 00:24:57+00:00,1,0
Douma doungo maksimal,@27rakhaazharqawsaini85,2024-08-10 00:13:06+00:00,1,0
Ok,@PusUy1,2024-08-10 00:11:22+00:00,0,0
"Dewa kalau lolos ke babak playoff keren banget sih (apalagi sekarang ada midlane baru, exp baru, jungler sudah kembali 😱👍)",@subhannurrohman7852,2024-08-09 23:17:36+00:00,4,0
Juara Lokal,@johanzhang1337,2024-08-09 23:11:49+00:00,0,0
Tim liquid kocak banget bawa explaner PH nya wkwkwkwkk,@jekoyyyyy,2024-08-09 23:05:51+00:00,0,0
Mending rsg,@walkingwatching3297,2024-08-09 22:31:42+00:00,0,0
1:52:57 YTTA,@muhamadfarhanfirmansyah4346,2024-08-09 22:05:03+00:00,0,0
evos calon gk lolos play off,@ChiilCeriya-u9g,2024-08-09 20:34:32+00:00,0,0
"Bener bener berbeda, onic pas di mpl sama di tur inter, berarti memang bener mpl id kurang kompetitif ketimbang region lain",@xiss7310,2024-08-09 20:15:39+00:00,9,0
douma GG 😀,@jamalakbar6674,2024-08-09 20:10:09+00:00,1,0
King GUGUN:V,@gbasfrakenza9879,2024-08-09 20:01:24+00:00,1,0
Bisa bisanya Sanz ngecat tembok di MPL. 🤣,@pustiwinaryo2106,2024-08-09 19:45:18+00:00,0,0
Gak ad asiknya lhat mpl Indo😂,@AriMuhammad-g5n,2024-08-09 19:29:20+00:00,0,0
Badut2 mpl maen😂,@AriMuhammad-g5n,2024-08-09 19:28:57+00:00,0,0
Haritnya gak berkembang 😂😂 x borg lemah,@adiktriuntoro8475,2024-08-09 19:20:33+00:00,0,0
wat kocak,@UjangRisris,2024-08-09 19:12:36+00:00,0,0
Menganggap remeh lawan 😂 yaa gitulah jadinya 😂 pos pos,@adiktriuntoro8475,2024-08-09 19:07:59+00:00,2,0
y,@SupraptoGatot,2024-08-09 18:32:38+00:00,2,0
Douma2 mis main lu,@solehqiuqiu5317,2024-08-09 18:24:02+00:00,1,0
indo lemah,@Ghulqmd11245,2024-08-09 18:18:20+00:00,2,0
Evos berasa main rank,@Newbe_hunting,2024-08-09 18:14:50+00:00,1,0
Liat tuh onic .kalah menang .pmain ga pernah ganti2,@hayabusamlbb8085,2024-08-09 18:12:03+00:00,6,0
Douma kocak war nya cok,@Mir748ml,2024-08-09 17:44:06+00:00,1,0
ingat ini bukti evos wakil indo dh jelas rusak line,@uciseptianadisaputra6289,2024-08-09 17:43:54+00:00,0,0
udah fix evos kelas bocil,@uciseptianadisaputra6289,2024-08-09 17:43:23+00:00,0,0
Allahuakbar lutpiii,@ayukadl518,2024-08-09 17:40:31+00:00,1,0
Udah kayak kebun binatang yang nonton di stage tu norak banget,@gungsansss,2024-08-09 17:36:27+00:00,0,0
Raja langit jadi raja lokal 🗿,@ombisdiary2178,2024-08-09 17:34:41+00:00,1,0
Hylos op bgt njir,@mbasepti-r1u,2024-08-09 17:31:39+00:00,2,0
onic sangar dimpl indonesia doang🤣dikejuaraan dunia ciut😂,@sumanikhenzialvaro8319,2024-08-09 17:26:47+00:00,0,0
"gg evos, aku fans evos dari lahir",@MasBasXixixi,2024-08-09 17:26:25+00:00,3,0
"Brisik amat itu fams, pas kalah nangis semua",@Faqihhh62,2024-08-09 17:22:37+00:00,0,0
Pada ngehina onic semua jir😹,@jassengamers2234,2024-08-09 17:22:10+00:00,1,0
Dreams dan brans gak main,@azizulputra5586,2024-08-09 17:21:06+00:00,0,0
Cw underperform,@triharianto6101,2024-08-09 17:05:30+00:00,0,0
watt...wattt...tolol😂,@EnglaFebryo,2024-08-09 16:55:15+00:00,0,0
Emng aneh ngapain pke douma wkwk udah tau ga ada perubahan tu anak wkwk,@ferdyfey5039,2024-08-09 16:43:06+00:00,2,0
hijumeng emg kelas si asli,@heyuuu,2024-08-09 16:34:52+00:00,0,0
liga tani  onic badut di inter bisa bntai2 di mpl . gk ad tim yg kuat di indo selain onic. klu onic juara lgi di mpl id fix di m6 jdi badut.,@MohammadfirmanshahXoxo,2024-08-09 16:30:07+00:00,0,0
Gak usah sok keras deh onic raja lokal bangga,@gungsansss,2024-08-09 16:23:57+00:00,1,0
Yang bilang evos nga bkln lolos play off sini taruhan brppun,@JamalJaya-d3u,2024-08-09 16:14:18+00:00,2,0
Kembalikan hijumee kami 😢,@Wily95W,2024-08-09 16:01:56+00:00,2,0
Douma bot,@ayfamily18,2024-08-09 16:01:49+00:00,0,0
Njir si CW rambutnya skinhead,@trisnaagustian519,2024-08-09 15:57:54+00:00,0,0
Lah padahal game 1 dewa yg menang kok angka 1 nya di evos 😂😂😂😂ngebuk kahhj😅,@Pinokio.66,2024-08-09 15:57:27+00:00,0,0
douma turunin mdl aja itu gaberess maen 3 game,@ikhsanhanafi3345,2024-08-09 15:55:03+00:00,0,0
Badut kembali ke stelan pabrik,@YandriChandra-dn6gs,2024-08-09 15:47:04+00:00,0,0
Baru bulan kemaren mpl,@heriptk7242,2024-08-09 15:22:07+00:00,0,0
Semangat yang berjuangg,@ronyaldiarieanto9206,2024-08-09 15:20:22+00:00,2,0
Ampas douma,@alditaher9647,2024-08-09 15:11:37+00:00,0,0
Douma aneh bener,@alditaher9647,2024-08-09 15:07:13+00:00,1,0
.,@Toxic95995,2024-08-09 15:05:28+00:00,0,0
kibooyyyyy akuuu,@AuliaPutri-ij8uy,2024-08-09 15:04:49+00:00,0,0
"1 kalimat ""evos bukan team penghibur""
.
.
.
.
.
.
.
tapi boong",@ft_Adelaide,2024-08-09 15:03:48+00:00,3,0
Mulai poke2 komen sok pro,@yda029,2024-08-09 15:02:14+00:00,0,0
Wei adu retri dek next emot dewa😂,@azrin-jc4mk,2024-08-09 15:01:12+00:00,2,0
Sok lihat roster dewa ngeri semua orangnya dah berpengalaman,@hafizyazid1908,2024-08-09 15:00:29+00:00,0,0
Ritchi mvp 😂,@alfiesumera7290,2024-08-09 14:57:53+00:00,0,0
Xorizoo klo make paquito ngeri benerr,@robiumarsaid4808,2024-08-09 14:52:33+00:00,24,0
doama bodo,@lunwzythegaze6662,2024-08-09 14:52:29+00:00,0,0
Evos evos disini,@dimasanggara855,2024-08-09 14:46:34+00:00,4,0
ada yg tau aran kmn?,@cennycindy,2024-08-09 14:39:19+00:00,1,0
"Sorry perasaan gw aja apa dreams lagi gk main, dari camnya evos, cuman keliatan strate(G) sama branz (yg gw kenal 😅😅)",@BOOOOMING,2024-08-09 14:39:17+00:00,0,0
evoss boot skrang kga kya dulu,@slankersnangka3461,2024-08-09 14:34:30+00:00,1,0
"Douma di mdl aja main nya kurang,... knpa di naikin ke mpl, masih mending natco sih. Apa mungkin douma di naikin ke mpl season ini apabila main  nya kurang perfom langsung di farawel kayak veldora",@KartayasaCeria,2024-08-09 14:22:39+00:00,7,0
Panzer saha atuh😂😂😂,@Dewipersik-dah-gila,2024-08-09 14:22:18+00:00,0,0
"Douma 😂😂😂 mending king branz sih ya,,",@Dewipersik-dah-gila,2024-08-09 14:21:58+00:00,0,0
Lebih baik dream dan branz dimainin,@Taqiyuddin-d4k,2024-08-09 14:19:54+00:00,2,0
Knpa mesti coba2 lagi blok,@firdaus6138,2024-08-09 14:19:01+00:00,0,0
kok ganti jam tayang jir,@gakperlutausiapasaya5710,2024-08-09 14:18:46+00:00,4,0
Onicccc🎉🎉,@Rahayuwulan-y5s,2024-08-09 14:14:36+00:00,0,0
Douma douma masih aja kek gitu,@addryanhasudungantampubolon,2024-08-09 14:11:17+00:00,0,0
Douma kocak kocak masih aja ga berubah heran! ,@Uncle_Zul,2024-08-09 14:09:32+00:00,18,0
