comment,channel_name,date,like_count,dislike_count
Semoga gameplay top 1 global saya bisa menginspirasi. & memotivasi kalian semua. Thanks for Support!❤️🇮🇩🇮🇩,@Cycgaming433,2022-08-12 17:58:35+00:00,2,0
Yang ngomong² global ban global ban liat dulu kemaren rrq di msc gimana ngeluarin Hero power ² nya? Kebaca kan strategi.,@thehumor_,2022-08-12 17:18:44+00:00,2,0
gg,@waykrui234,2022-08-12 16:49:52+00:00,0,0
provokator nonton sinetron aja de jangan nonton MPL. ini semua indonesia dukung bukan malah sok paling hyperlah!,@bungtam,2022-08-12 16:49:44+00:00,0,0
2:47:07 lihatlah pelayar Epic????? Luke,@tegarar8250,2022-08-12 16:42:03+00:00,0,0
Aku rrq kingdom. Buat hper geek. Smngat. Lu beban seharusnya geek menang sih. Klo dari gameplay. Tp rrq mental juara bos🙏,@sullamprolink6915,2022-08-12 16:33:45+00:00,1,0
"Gw pengen rrq menang s10..cmn kalo boleh jujur,semua tim di s10 ini udah improve abis2an,, i mean bakal berbeda dari sebelum2nya yg mana cmn bbrpa tim yg dominan,,tapi gw pribadi s10 ini susah nebaknya yg bakal kuat disini siapa ..ya gw berharap rrq bisa juara lg dan lebih improve,tpi s10 ini bukan jalan yg mudah buat rrq gak kek s9 kemarin ..",@faradilaavi548,2022-08-12 16:24:03+00:00,0,0
Iihhhh Rebel kaga malu udh TAUNTING menang aja kaga 😂😂😂😂,@wandi6548,2022-08-12 16:01:31+00:00,1,0
"Niatnya hans tunggu di buff biru.. pas war terakhir.. buat nge cut jalan balik rrq..

Tp.. nyatanya.. malah end.
Kalo dia ikut war terakhir..
Mungkin pas skylar masuk ulti..
Dia bisa kill tuh.. krn darah skylar tipis.

Nice try geek.
Good game rrq",@nuzie8904,2022-08-12 15:58:37+00:00,1,0
Rebellion team pemanis aj🤣,@number19real,2022-08-12 15:55:31+00:00,0,0
Geek ini mengerikan coi,@gilangggatraawicaksonooo,2022-08-12 15:55:13+00:00,1,0
"Ml>>>pubg,ff,dota kenyang fakta",@vianschumacher,2022-08-12 15:43:52+00:00,0,0
RRQ no counter ygy😏,@wikapratama256,2022-08-12 15:40:12+00:00,0,0
Kalo ada pemain pH komunikasi gimana ya 🤔,@lossgaming6024,2022-08-12 15:35:07+00:00,1,0
Deg2 padahal liat replay🗿,@rendir2949,2022-08-12 15:34:38+00:00,0,0
"GLOBAL BAN lahhh masak heronya monoton itu"" aja",@kangcilok1325,2022-08-12 15:21:38+00:00,1,0
"GLOBAL BAN LAH, BIAR NONTONYA GK MONOTON !",@Say-er8rp,2022-08-12 15:13:12+00:00,1,0
